Palabra/Clase, FrecPos, FrecNeg, LogPos, LogNeg
food, 56, 57, -2.0561020886644625, -2.0800539494770205
4, 1, 1, -3.5109469486729727, -3.5424519473759766
tables, 0, 4, -3.811976944336954, -3.144511938703939
restaurant, 15, 7, -2.6078569616810294, -2.940391956048014
luke, 0, 1, -3.811976944336954, -3.5424519473759766
warm, 2, 3, -3.3348556896172914, -3.2414219517119953
sever, 0, 1, -3.811976944336954, -3.5424519473759766
running, 1, 3, -3.5109469486729727, -3.2414219517119953
around, 2, 6, -3.3348556896172914, -2.998383903025701
he, 8, 7, -2.8577344348976292, -2.940391956048014
totally, 0, 1, -3.811976944336954, -3.5424519473759766
overwhelmed, 1, 1, -3.5109469486729727, -3.5424519473759766
worst, 1, 12, -3.5109469486729727, -2.729538590733121
salmon, 2, 1, -3.3348556896172914, -3.5424519473759766
sashimi, 0, 3, -3.811976944336954, -3.2414219517119953
final, 0, 1, -3.811976944336954, -3.5424519473759766
blow, 0, 1, -3.811976944336954, -3.5424519473759766
seems, 0, 2, -3.811976944336954, -3.3663606883202952
quick, 4, 1, -3.1130069400009353, -3.5424519473759766
grab, 0, 1, -3.811976944336954, -3.5424519473759766
bite, 1, 1, -3.5109469486729727, -3.5424519473759766
some, 8, 9, -2.8577344348976292, -2.843481943039958
familiar, 1, 1, -3.5109469486729727, -3.5424519473759766
pub, 0, 1, -3.811976944336954, -3.5424519473759766
but, 13, 38, -2.665848908658716, -2.2524173360134587
do, 2, 9, -3.3348556896172914, -2.843481943039958
yourself, 0, 3, -3.811976944336954, -3.2414219517119953
favor, 0, 2, -3.811976944336954, -3.3663606883202952
look, 0, 4, -3.811976944336954, -3.144511938703939
elsewhere, 0, 4, -3.811976944336954, -3.144511938703939
poor, 0, 5, -3.811976944336954, -3.065330692656314
waiter, 2, 5, -3.3348556896172914, -3.065330692656314
me, 6, 12, -2.966878904322697, -2.729538590733121
feel, 3, 7, -3.2099169530089915, -2.940391956048014
stupid, 0, 1, -3.811976944336954, -3.5424519473759766
every, 6, 1, -2.966878904322697, -3.5424519473759766
came, 7, 11, -2.9088869573450102, -2.7643006969923327
table, 4, 5, -3.1130069400009353, -3.065330692656314
sucks, 0, 3, -3.811976944336954, -3.2414219517119953
there, 7, 24, -2.9088869573450102, -2.4455419343679203
deal, 2, 3, -3.3348556896172914, -3.2414219517119953
enough, 5, 6, -3.03382569395331, -2.998383903025701
drag, 0, 1, -3.811976944336954, -3.5424519473759766
into, 0, 1, -3.811976944336954, -3.5424519473759766
establishment, 1, 3, -3.5109469486729727, -3.2414219517119953
again, 6, 15, -2.966878904322697, -2.639361960384033
have, 28, 23, -2.349578946437998, -2.463270701328352
horrible, 0, 6, -3.811976944336954, -2.998383903025701
attitudes, 0, 2, -3.811976944336954, -3.3663606883202952
towards, 0, 2, -3.811976944336954, -3.3663606883202952
customers, 0, 2, -3.811976944336954, -3.3663606883202952
talk, 1, 4, -3.5109469486729727, -3.144511938703939
down, 2, 5, -3.3348556896172914, -3.065330692656314
each, 4, 2, -3.1130069400009353, -3.3663606883202952
one, 8, 15, -2.8577344348976292, -2.639361960384033
when, 7, 9, -2.9088869573450102, -2.843481943039958
dont, 3, 21, -3.2099169530089915, -2.5010592622177517
enjoy, 2, 4, -3.3348556896172914, -3.144511938703939
their, 16, 12, -2.58152802295868, -2.729538590733121
much, 3, 15, -3.2099169530089915, -2.639361960384033
seafood, 3, 2, -3.2099169530089915, -3.3663606883202952
5, 6, 1, -2.966878904322697, -3.5424519473759766
strings, 0, 1, -3.811976944336954, -3.5424519473759766
pasta, 3, 2, -3.2099169530089915, -3.3663606883202952
bottom, 0, 1, -3.811976944336954, -3.5424519473759766
ripped, 0, 2, -3.811976944336954, -3.3663606883202952
banana, 0, 1, -3.811976944336954, -3.5424519473759766
petrified, 0, 1, -3.811976944336954, -3.5424519473759766
tasteless, 0, 5, -3.811976944336954, -3.065330692656314
over, 0, 6, -3.811976944336954, -2.998383903025701
30, 0, 5, -3.811976944336954, -3.065330692656314
min, 0, 2, -3.811976944336954, -3.3663606883202952
milkshake, 0, 1, -3.811976944336954, -3.5424519473759766
which, 7, 10, -2.9088869573450102, -2.802089257881733
nothing, 1, 6, -3.5109469486729727, -2.998383903025701
more, 5, 11, -3.03382569395331, -2.7643006969923327
than, 5, 8, -3.03382569395331, -2.889239433600633
chocolate, 0, 1, -3.811976944336954, -3.5424519473759766
milk, 0, 1, -3.811976944336954, -3.5424519473759766
scallop, 0, 1, -3.811976944336954, -3.5424519473759766
dish, 5, 3, -3.03382569395331, -3.2414219517119953
quite, 6, 2, -2.966878904322697, -3.3663606883202952
appalling, 0, 1, -3.811976944336954, -3.5424519473759766
value, 1, 1, -3.5109469486729727, -3.5424519473759766
as, 16, 17, -2.58152802295868, -2.588209437936652
well, 6, 10, -2.966878904322697, -2.802089257881733
cheated, 0, 1, -3.811976944336954, -3.5424519473759766
wasting, 0, 2, -3.811976944336954, -3.3663606883202952
eating, 1, 6, -3.5109469486729727, -2.998383903025701
opportunity, 1, 1, -3.5109469486729727, -3.5424519473759766
by, 11, 8, -2.7327956982893293, -2.889239433600633
going, 5, 12, -3.03382569395331, -2.729538590733121
rice, 1, 3, -3.5109469486729727, -3.2414219517119953
company, 1, 1, -3.5109469486729727, -3.5424519473759766
walked, 1, 2, -3.5109469486729727, -3.3663606883202952
smelled, 0, 1, -3.811976944336954, -3.5424519473759766
old, 1, 3, -3.5109469486729727, -3.2414219517119953
grease, 0, 2, -3.811976944336954, -3.3663606883202952
trap, 0, 1, -3.811976944336954, -3.5424519473759766
2, 1, 4, -3.5109469486729727, -3.144511938703939
others, 0, 2, -3.811976944336954, -3.3663606883202952
least, 1, 2, -3.5109469486729727, -3.3663606883202952
40min, 0, 1, -3.811976944336954, -3.5424519473759766
passed, 0, 2, -3.811976944336954, -3.3663606883202952
between, 0, 2, -3.811976944336954, -3.3663606883202952
us, 7, 12, -2.9088869573450102, -2.729538590733121
ordering, 0, 1, -3.811976944336954, -3.5424519473759766
arriving, 0, 1, -3.811976944336954, -3.5424519473759766
wasnt, 0, 13, -3.811976944336954, -2.6973539073617196
busy, 0, 3, -3.811976944336954, -3.2414219517119953
ive, 6, 10, -2.966878904322697, -2.802089257881733
better, 4, 11, -3.1130069400009353, -2.7643006969923327
atmosphere, 9, 1, -2.811976944336954, -3.5424519473759766
although, 0, 3, -3.811976944336954, -3.2414219517119953
very, 42, 26, -2.1785084887573674, -2.4121181788809705
liked, 2, 1, -3.3348556896172914, -3.5424519473759766
sound, 0, 1, -3.811976944336954, -3.5424519473759766
actual, 0, 1, -3.811976944336954, -3.5424519473759766
experience, 11, 7, -2.7327956982893293, -2.940391956048014
bit, 1, 7, -3.5109469486729727, -2.940391956048014
disappointing, 0, 4, -3.811976944336954, -3.144511938703939
boot, 1, 1, -3.5109469486729727, -3.5424519473759766
worries, 0, 1, -3.811976944336954, -3.5424519473759766
host, 0, 1, -3.811976944336954, -3.5424519473759766
staff, 14, 4, -2.6358856852812727, -3.144511938703939
lack, 0, 1, -3.811976944336954, -3.5424519473759766
word, 0, 2, -3.811976944336954, -3.3663606883202952
bitches, 0, 1, -3.811976944336954, -3.5424519473759766
management, 0, 6, -3.811976944336954, -2.998383903025701
rude, 0, 7, -3.811976944336954, -2.940391956048014
helpful, 2, 2, -3.3348556896172914, -3.3663606883202952
or, 7, 10, -2.9088869573450102, -2.802089257881733
friendly, 19, 3, -2.5109469486729727, -3.2414219517119953
rarely, 0, 2, -3.811976944336954, -3.3663606883202952
checked, 1, 2, -3.5109469486729727, -3.3663606883202952
red, 1, 1, -3.5109469486729727, -3.5424519473759766
curry, 1, 1, -3.5109469486729727, -3.5424519473759766
bamboo, 0, 1, -3.811976944336954, -3.5424519473759766
shoots, 0, 1, -3.811976944336954, -3.5424519473759766
considering, 2, 2, -3.3348556896172914, -3.3663606883202952
served, 2, 3, -3.3348556896172914, -3.2414219517119953
3, 1, 3, -3.5109469486729727, -3.2414219517119953
people, 2, 6, -3.3348556896172914, -2.998383903025701
servers, 1, 4, -3.5109469486729727, -3.144511938703939
coming, 2, 7, -3.3348556896172914, -2.940391956048014
pace, 1, 1, -3.5109469486729727, -3.5424519473759766
watched, 0, 3, -3.811976944336954, -3.2414219517119953
pay, 1, 3, -3.5109469486729727, -3.2414219517119953
lot, 3, 3, -3.2099169530089915, -3.2414219517119953
attention, 0, 1, -3.811976944336954, -3.5424519473759766
other, 3, 7, -3.2099169530089915, -2.940391956048014
ignore, 0, 1, -3.811976944336954, -3.5424519473759766
crostini, 0, 1, -3.811976944336954, -3.5424519473759766
with, 38, 28, -2.220912337310455, -2.3810839451410017
stale, 0, 3, -3.811976944336954, -3.2414219517119953
unfortunately, 0, 4, -3.811976944336954, -3.144511938703939
must, 3, 2, -3.2099169530089915, -3.3663606883202952
hit, 3, 1, -3.2099169530089915, -3.5424519473759766
bakery, 1, 1, -3.5109469486729727, -3.5424519473759766
leftover, 0, 1, -3.811976944336954, -3.5424519473759766
day, 3, 4, -3.2099169530089915, -3.144511938703939
everything, 6, 3, -2.966878904322697, -3.2414219517119953
ordered, 4, 8, -3.1130069400009353, -2.889239433600633
avoid, 0, 5, -3.811976944336954, -3.065330692656314
cost, 0, 1, -3.811976944336954, -3.5424519473759766
if, 9, 19, -2.811976944336954, -2.5424519473759766
are, 30, 23, -2.3206152505026814, -2.463270701328352
looking, 0, 2, -3.811976944336954, -3.3663606883202952
perhaps, 0, 1, -3.811976944336954, -3.5424519473759766
caught, 0, 1, -3.811976944336954, -3.5424519473759766
them, 4, 8, -3.1130069400009353, -2.889239433600633
off, 2, 5, -3.3348556896172914, -3.065330692656314
night, 6, 4, -2.966878904322697, -3.144511938703939
judging, 0, 1, -3.811976944336954, -3.5424519473759766
reviews, 1, 2, -3.5109469486729727, -3.3663606883202952
im, 9, 11, -2.811976944336954, -2.7643006969923327
inspired, 0, 1, -3.811976944336954, -3.5424519473759766
literally, 0, 2, -3.811976944336954, -3.3663606883202952
sat, 3, 2, -3.2099169530089915, -3.3663606883202952
20, 1, 3, -3.5109469486729727, -3.2414219517119953
minutes, 0, 17, -3.811976944336954, -2.588209437936652
asking, 0, 1, -3.811976944336954, -3.5424519473759766
take, 2, 5, -3.3348556896172914, -3.065330692656314
order, 6, 4, -2.966878904322697, -3.144511938703939
also, 17, 7, -2.556704439233648, -2.940391956048014
decided, 1, 1, -3.5109469486729727, -3.5424519473759766
send, 0, 1, -3.811976944336954, -3.5424519473759766
looked, 1, 1, -3.5109469486729727, -3.5424519473759766
she, 2, 7, -3.3348556896172914, -2.940391956048014
verge, 0, 1, -3.811976944336954, -3.5424519473759766
having, 0, 1, -3.811976944336954, -3.5424519473759766
heart, 1, 2, -3.5109469486729727, -3.3663606883202952
attack, 0, 1, -3.811976944336954, -3.5424519473759766
probably, 0, 10, -3.811976944336954, -2.802089257881733
dirt, 0, 2, -3.811976944336954, -3.3663606883202952
insulted, 0, 3, -3.811976944336954, -3.2414219517119953
felt, 2, 6, -3.3348556896172914, -2.998383903025701
disrespected, 0, 2, -3.811976944336954, -3.3663606883202952
about, 6, 9, -2.966878904322697, -2.843481943039958
10, 0, 4, -3.811976944336954, -3.144511938703939
waiting, 0, 5, -3.811976944336954, -3.065330692656314
her, 0, 6, -3.811976944336954, -2.998383903025701
realized, 1, 1, -3.5109469486729727, -3.5424519473759766
any, 3, 7, -3.2099169530089915, -2.940391956048014
soon, 2, 7, -3.3348556896172914, -2.940391956048014
wont, 4, 15, -3.1130069400009353, -2.639361960384033
lacking, 0, 2, -3.811976944336954, -3.3663606883202952
hopefully, 0, 1, -3.811976944336954, -3.5424519473759766
bodes, 0, 1, -3.811976944336954, -3.5424519473759766
out, 8, 14, -2.8577344348976292, -2.6673906839842765
business, 0, 4, -3.811976944336954, -3.144511938703939
someone, 1, 3, -3.5109469486729727, -3.2414219517119953
who, 3, 5, -3.2099169530089915, -3.065330692656314
can, 6, 7, -2.966878904322697, -2.940391956048014
cook, 0, 2, -3.811976944336954, -3.3663606883202952
come, 7, 3, -2.9088869573450102, -3.2414219517119953
isnt, 1, 2, -3.5109469486729727, -3.3663606883202952
bad, 0, 13, -3.811976944336954, -2.6973539073617196
then, 1, 8, -3.5109469486729727, -2.889239433600633
dealing, 1, 1, -3.5109469486729727, -3.5424519473759766
worlds, 0, 1, -3.811976944336954, -3.5424519473759766
worstannoying, 0, 1, -3.811976944336954, -3.5424519473759766
drunk, 0, 1, -3.811976944336954, -3.5424519473759766
double, 1, 1, -3.5109469486729727, -3.5424519473759766
cheeseburger, 1, 1, -3.5109469486729727, -3.5424519473759766
got, 2, 14, -3.3348556896172914, -2.6673906839842765
single, 0, 2, -3.811976944336954, -3.3663606883202952
patty, 0, 1, -3.811976944336954, -3.5424519473759766
falling, 0, 1, -3.811976944336954, -3.5424519473759766
apart, 0, 1, -3.811976944336954, -3.5424519473759766
picture, 0, 1, -3.811976944336954, -3.5424519473759766
uploaded, 0, 1, -3.811976944336954, -3.5424519473759766
yeah, 0, 1, -3.811976944336954, -3.5424519473759766
possible, 1, 3, -3.5109469486729727, -3.2414219517119953
give, 2, 6, -3.3348556896172914, -2.998383903025701
zero, 0, 4, -3.811976944336954, -3.144511938703939
stars, 8, 7, -2.8577344348976292, -2.940391956048014
theyd, 0, 1, -3.811976944336954, -3.5424519473759766
rolled, 0, 1, -3.811976944336954, -3.5424519473759766
eyes, 0, 1, -3.811976944336954, -3.5424519473759766
may, 3, 2, -3.2099169530089915, -3.3663606883202952
stayed, 1, 1, -3.5109469486729727, -3.5424519473759766
will, 13, 21, -2.665848908658716, -2.5010592622177517
try, 5, 3, -3.03382569395331, -3.2414219517119953
waste, 0, 4, -3.811976944336954, -3.144511938703939
money, 0, 6, -3.811976944336954, -2.998383903025701
side, 5, 1, -3.03382569395331, -3.5424519473759766
almost, 1, 1, -3.5109469486729727, -3.5424519473759766
empty, 1, 2, -3.5109469486729727, -3.3663606883202952
excuse, 0, 1, -3.811976944336954, -3.5424519473759766
either, 0, 5, -3.811976944336954, -3.065330692656314
building, 0, 2, -3.811976944336954, -3.3663606883202952
freezing, 0, 1, -3.811976944336954, -3.5424519473759766
cold, 1, 7, -3.5109469486729727, -2.940391956048014
reviewer, 0, 1, -3.811976944336954, -3.5424519473759766
said, 2, 3, -3.3348556896172914, -3.2414219517119953
couldnt, 1, 2, -3.5109469486729727, -3.3663606883202952
eat, 6, 11, -2.966878904322697, -2.7643006969923327
drinks, 0, 2, -3.811976944336954, -3.3663606883202952
close, 2, 2, -3.3348556896172914, -3.3663606883202952
point, 1, 2, -3.5109469486729727, -3.3663606883202952
based, 0, 1, -3.811976944336954, -3.5424519473759766
subpar, 0, 1, -3.811976944336954, -3.5424519473759766
received, 1, 2, -3.5109469486729727, -3.3663606883202952
effort, 0, 1, -3.811976944336954, -3.5424519473759766
show, 0, 1, -3.811976944336954, -3.5424519473759766
gratitude, 0, 1, -3.811976944336954, -3.5424519473759766
be, 22, 41, -2.450249108319361, -2.220232652642057
privileged, 0, 1, -3.811976944336954, -3.5424519473759766
workingeating, 0, 1, -3.811976944336954, -3.5424519473759766
overall, 4, 4, -3.1130069400009353, -3.144511938703939
think, 3, 12, -3.2099169530089915, -2.729538590733121
parents, 0, 1, -3.811976944336954, -3.5424519473759766
most, 0, 1, -3.811976944336954, -3.5424519473759766
similar, 1, 1, -3.5109469486729727, -3.5424519473759766
complaints, 1, 1, -3.5109469486729727, -3.5424519473759766
silently, 0, 1, -3.811976944336954, -3.5424519473759766
too, 4, 8, -3.1130069400009353, -2.889239433600633
wouldve, 0, 1, -3.811976944336954, -3.5424519473759766
given, 0, 1, -3.811976944336954, -3.5424519473759766
godfathers, 0, 1, -3.811976944336954, -3.5424519473759766
tough, 0, 1, -3.811976944336954, -3.5424519473759766
short, 0, 1, -3.811976944336954, -3.5424519473759766
flavor, 2, 7, -3.3348556896172914, -2.940391956048014
few, 2, 6, -3.3348556896172914, -2.998383903025701
bars, 1, 1, -3.5109469486729727, -3.5424519473759766
recall, 0, 1, -3.811976944336954, -3.5424519473759766
charged, 0, 1, -3.811976944336954, -3.5424519473759766
tap, 1, 1, -3.5109469486729727, -3.5424519473759766
water, 0, 2, -3.811976944336954, -3.3663606883202952
par, 0, 2, -3.811976944336954, -3.3663606883202952
self, 0, 1, -3.811976944336954, -3.5424519473759766
proclaimed, 0, 1, -3.811976944336954, -3.5424519473759766
coffee, 0, 2, -3.811976944336954, -3.3663606883202952
cafe, 2, 1, -3.3348556896172914, -3.5424519473759766
wildly, 0, 1, -3.811976944336954, -3.5424519473759766
disappointed, 5, 13, -3.03382569395331, -2.6973539073617196
from, 8, 16, -2.8577344348976292, -2.6130330216616837
dedicated, 0, 1, -3.811976944336954, -3.5424519473759766
boba, 0, 2, -3.811976944336954, -3.3663606883202952
tea, 2, 2, -3.3348556896172914, -3.3663606883202952
spots, 0, 1, -3.811976944336954, -3.5424519473759766
even, 9, 9, -2.811976944336954, -2.843481943039958
jenni, 0, 1, -3.811976944336954, -3.5424519473759766
mac, 0, 1, -3.811976944336954, -3.5424519473759766
bland, 0, 8, -3.811976944336954, -2.889239433600633
stinks, 0, 1, -3.811976944336954, -3.5424519473759766
here, 27, 23, -2.3648189129947346, -2.463270701328352
waited, 0, 9, -3.811976944336954, -2.843481943039958
quality, 4, 7, -3.1130069400009353, -2.940391956048014
sushi, 5, 6, -3.03382569395331, -2.998383903025701
things, 1, 3, -3.5109469486729727, -3.2414219517119953
went, 5, 6, -3.03382569395331, -2.998383903025701
wrong, 4, 1, -3.1130069400009353, -3.5424519473759766
burned, 0, 1, -3.811976944336954, -3.5424519473759766
saganaki, 0, 1, -3.811976944336954, -3.5424519473759766
breakfast, 6, 2, -2.966878904322697, -3.3663606883202952
done, 0, 5, -3.811976944336954, -3.065330692656314
100, 1, 1, -3.5109469486729727, -3.5424519473759766
times, 4, 8, -3.1130069400009353, -2.889239433600633
home, 2, 3, -3.3348556896172914, -3.2414219517119953
hate, 0, 2, -3.811976944336954, -3.3663606883202952
disagree, 0, 1, -3.811976944336954, -3.5424519473759766
fellow, 0, 1, -3.811976944336954, -3.5424519473759766
yelpers, 0, 1, -3.811976944336954, -3.5424519473759766
husband, 1, 2, -3.5109469486729727, -3.3663606883202952
hours, 0, 2, -3.811976944336954, -3.3663606883202952
pizzas, 2, 1, -3.3348556896172914, -3.5424519473759766
many, 3, 5, -3.2099169530089915, -3.065330692656314
later, 1, 1, -3.5109469486729727, -3.5424519473759766
know, 3, 7, -3.2099169530089915, -2.940391956048014
why, 0, 4, -3.811976944336954, -3.144511938703939
live, 0, 3, -3.811976944336954, -3.2414219517119953
neighborhood, 1, 1, -3.5109469486729727, -3.5424519473759766
convenient, 1, 1, -3.5109469486729727, -3.5424519473759766
location, 0, 4, -3.811976944336954, -3.144511938703939
before, 1, 6, -3.5109469486729727, -2.998383903025701
gave, 1, 3, -3.5109469486729727, -3.2414219517119953
1, 0, 4, -3.811976944336954, -3.144511938703939
star, 0, 3, -3.811976944336954, -3.2414219517119953
rating, 0, 1, -3.811976944336954, -3.5424519473759766
please, 0, 3, -3.811976944336954, -3.2414219517119953
third, 0, 2, -3.811976944336954, -3.3663606883202952
bachi, 1, 1, -3.5109469486729727, -3.5424519473759766
burger, 4, 6, -3.1130069400009353, -2.998383903025701
writing, 0, 1, -3.811976944336954, -3.5424519473759766
review, 1, 2, -3.5109469486729727, -3.3663606883202952
dining, 4, 3, -3.1130069400009353, -3.2414219517119953
stay, 1, 2, -3.5109469486729727, -3.3663606883202952
away, 1, 2, -3.5109469486729727, -3.3663606883202952
shrimp, 1, 4, -3.5109469486729727, -3.144511938703939
stir, 1, 1, -3.5109469486729727, -3.5424519473759766
fried, 1, 4, -3.5109469486729727, -3.144511938703939
noodles, 0, 1, -3.811976944336954, -3.5424519473759766
potato, 4, 2, -3.1130069400009353, -3.3663606883202952
chip, 0, 1, -3.811976944336954, -3.5424519473759766
sad, 0, 3, -3.811976944336954, -3.2414219517119953
count, 0, 1, -3.811976944336954, -3.5424519473759766
how, 5, 8, -3.03382569395331, -2.889239433600633
chips, 3, 4, -3.2099169530089915, -3.144511938703939
box, 0, 1, -3.811976944336954, -3.5424519473759766
12, 0, 3, -3.811976944336954, -3.2414219517119953
really, 19, 12, -2.5109469486729727, -2.729538590733121
boring, 0, 1, -3.811976944336954, -3.5424519473759766
greedy, 0, 1, -3.811976944336954, -3.5424519473759766
corporation, 0, 1, -3.811976944336954, -3.5424519473759766
see, 2, 3, -3.3348556896172914, -3.2414219517119953
another, 0, 7, -3.811976944336954, -2.940391956048014
dime, 0, 1, -3.811976944336954, -3.5424519473759766
id, 3, 2, -3.2099169530089915, -3.3663606883202952
cant, 6, 4, -2.966878904322697, -3.144511938703939
atrocious, 0, 1, -3.811976944336954, -3.5424519473759766
return, 1, 3, -3.5109469486729727, -3.2414219517119953
toasted, 1, 1, -3.5109469486729727, -3.5424519473759766
english, 0, 1, -3.811976944336954, -3.5424519473759766
muffin, 0, 1, -3.811976944336954, -3.5424519473759766
untoasted, 0, 1, -3.811976944336954, -3.5424519473759766
bus, 0, 1, -3.811976944336954, -3.5424519473759766
boy, 0, 2, -3.811976944336954, -3.3663606883202952
hand, 1, 1, -3.5109469486729727, -3.5424519473759766
friends, 3, 4, -3.2099169530089915, -3.144511938703939
basically, 0, 2, -3.811976944336954, -3.3663606883202952
figured, 0, 1, -3.811976944336954, -3.5424519473759766
joke, 0, 2, -3.811976944336954, -3.3663606883202952
mind, 0, 1, -3.811976944336954, -3.5424519473759766
making, 0, 1, -3.811976944336954, -3.5424519473759766
publicly, 0, 1, -3.811976944336954, -3.5424519473759766
loudly, 0, 1, -3.811976944336954, -3.5424519473759766
known, 0, 1, -3.811976944336954, -3.5424519473759766
downside, 0, 1, -3.811976944336954, -3.5424519473759766
fries, 4, 5, -3.1130069400009353, -3.065330692656314
without, 0, 2, -3.811976944336954, -3.3663606883202952
doubt, 0, 2, -3.811976944336954, -3.3663606883202952
far, 4, 3, -3.1130069400009353, -3.2414219517119953
places, 2, 2, -3.3348556896172914, -3.3663606883202952
